Date	Open	High	Low	Close	Volume
2022/2/25	107.5	113	106	111.5	22743.068
2022/2/24	102.5	106	100	103	22330.537
2022/2/23	96.6	102.5	96.5	102.5	5604.723
2022/2/22	91.8	94.5	91.7	93.4	3547.125
2022/2/21	90.9	92.8	90.1	92.5	1607.345
2022/2/18	89.4	91	89.3	90.9	1061.78
2022/2/17	89.5	92.2	88.8	90.7	2862.288
2022/2/16	86.7	89.6	86.2	89.5	1182.105
2022/2/15	86.8	87.2	85.6	85.8	746.338
2022/2/14	88	88	85.8	86.1	1105.666
2022/2/11	88.5	90.2	88	88.5	1474.064
2022/2/10	90	90.6	88.5	89.5	1079.212
2022/2/9	90.4	91	88.8	90.2	1563.246
2022/2/8	86.5	89.6	86.3	89.6	1901.925
2022/2/7	86.8	86.9	85.1	86.3	1211.949
2022/1/26	86.2	88.5	85.7	85.7	2403.431
2022/1/25	85.3	86.8	84.1	84.4	1710.093
2022/1/24	86.3	86.6	81.9	84.4	1770.166
2022/1/21	88.1	89.2	86	86.2	1862.447
2022/1/20	87.3	88.3	86.9	87.7	611.503
2022/1/19	88	88	87.1	87.3	691.277
2022/1/18	89.4	90.6	88	88.2	1053.129
2022/1/17	86.7	89.5	86.5	89	1213.488
2022/1/14	89.8	89.8	86.2	87.1	1980.438
2022/1/13	90	90.9	89	89.6	736.134
2022/1/12	90.1	90.4	88.3	89.4	1996.11
2022/1/11	91.9	92.5	89	89.5	2525.102
2022/1/10	90.9	92.8	90.9	92	1085.608
2022/1/7	96.1	96.4	91.2	91.5	3447.294
2022/1/6	96.4	96.4	95.5	95.9	1148.249
2022/1/5	96.8	97.5	96.1	96.1	993.62
2022/1/4	96.8	97	95.6	96.3	1482.181
2022/1/3	98	98.9	95.7	96.5	1962.837
2021/12/30	98.5	98.5	97.3	97.5	1245.682
2021/12/29	97.5	99	97.1	98	2261.373
2021/12/28	96.5	97.6	96.2	96.3	1251.534
2021/12/27	96.5	97.2	95.5	96	1106.371
2021/12/24	97.8	98.4	96	96.2	2407.831
2021/12/23	98	99.1	97.4	97.7	2532.193
2021/12/22	98	99.7	97.3	97.8	3185.991
2021/12/21	95.5	97.4	95.3	97.4	1779.771
2021/12/20	95.3	96.6	95.3	95.5	1721.003
2021/12/17	96.7	97.2	95.2	95.3	3577.754
2021/12/16	99.2	99.2	96.8	97.2	4776.293
2021/12/15	101.5	102	98.1	98.2	4787.723
2021/12/14	99.9	102.5	99	101.5	4467.237
2021/12/13	98.3	103	97.6	100.5	6779.739
2021/12/10	97.2	97.8	96.5	97.6	1829
2021/12/9	96.5	97.6	95.8	97.2	2891.135
2021/12/8	97	97.5	95.5	96	4041.086
2021/12/7	97.5	99.6	96.1	96.3	9754.773
2021/12/6	98.4	101.5	98.4	100.5	19868.742
2021/12/3	103.5	104	101.5	103	1726.582
2021/12/2	114.5	114.5	101.5	102	12318.408
2021/12/1	111.5	112.5	109.5	112.5	1962.653
2021/11/30	109	112	108.5	111.5	1769.902
2021/11/29	108	114.5	107.5	109	3799.103
2021/11/26	111.5	113.5	108	109.5	2970.044
2021/11/25	114	118	111.5	112.5	8652.74
2021/11/24	108.5	116	106.5	114.5	5053.546
2021/11/23	112	115	107.5	108	5147.612
2021/11/22	113	114.5	109	111.5	4652.075
2021/11/19	122	124	112.5	114.5	12345.135
2021/11/18	112	117	111	117	9355.383
2021/11/17	98	106.5	96.5	106.5	6044.569
2021/11/16	96.5	97.4	95.1	97.1	1013.206
2021/11/15	93.3	97.3	92.5	96.3	2343.189
2021/11/12	93.7	94.5	92	92	1162.27
2021/11/11	91.7	93.2	91.5	92	943.005
2021/11/10	94.7	94.7	92.6	93.2	686.289
2021/11/9	93.6	94.8	92.3	94.5	725.356
2021/11/8	93.9	94.5	92.8	93	530.636
2021/11/5	95	95.3	93	93.7	585.115
2021/11/4	96.9	97.4	94.3	94.3	936.097
2021/11/3	95	97.1	94.2	96.1	825.469
2021/11/2	97.2	97.7	94.1	95	1213.187
2021/11/1	95.2	98.8	94.9	97.2	2162.567
2021/10/29	93.6	94.4	92.1	94	1472.321
2021/10/28	92.1	93.4	92	92.7	673.614
2021/10/27	93.8	94.4	91.6	91.9	1342.199
2021/10/26	91.4	94.4	91.4	93	1760.645
2021/10/25	98	98	88.2	91.3	6668.563
2021/10/22	98.6	99.9	97.6	98	943.287
2021/10/21	98.8	99.9	98.2	98.2	1078.393
2021/10/20	101	101	98.5	98.7	1320.788
2021/10/19	99.2	101.5	98.4	99.9	1361.267
2021/10/18	98.5	99.5	98.1	98.4	682.128
2021/10/15	101	101	97.8	98	1510.532
2021/10/14	99.3	99.9	98	98.7	1117.206
2021/10/13	100.5	101	96.8	97.1	1457.795
2021/10/12	99.8	102	98.3	100	1491.121
2021/10/8	96.5	102.5	96.3	100.5	2820.58
2021/10/7	93.6	97	93.6	96.5	2336.399
2021/10/6	97	98	92.5	92.7	3226.496
2021/10/5	95	98.6	93	96.4	2575.615
2021/10/4	104.5	105.5	96	96	4832.486
2021/10/1	106	108	102.5	104	4912.158
2021/9/30	101	109	99.6	108	5122.34
2021/9/29	103.5	103.5	100	100.5	2746.25
2021/9/28	103.5	105.5	103	104	5604.926
2021/9/27	100.5	105	99.5	102	4876.538
2021/9/24	100	101.5	98.4	100	930.045
2021/9/23	98.8	100	97.7	98.8	1208.439
2021/9/22	100	102	96.1	97.5	2115.496
2021/9/17	102	102.5	100	102	1038.422
2021/9/16	102.5	102.5	99.9	101	1408.323
2021/9/15	102.5	103	99.4	101	1094.397
2021/9/14	103	103.5	100.5	102	1355.872
2021/9/13	101	103	99.9	101	1508.627
2021/9/10	104	105.5	101	103	1148.426
2021/9/9	100.5	104	99.6	102	1205.704
2021/9/8	105	106	99.7	100	1414.153
2021/9/7	102.5	105	102	105	1105.946
2021/9/6	105	105.5	101	102	1556.101
2021/9/3	104.5	107	103	105.5	1877.947
2021/9/2	106.5	109	102	102.5	1637.793
2021/9/1	107.5	108.5	105.5	106.5	1050.228
2021/8/31	106	108	104	107.5	1223.807
2021/8/30	108	110	103.5	105	2897.434
2021/8/27	106	107.5	105	107	1368.095
2021/8/26	107	108	104.5	106.5	1799.247
2021/8/25	105.5	110.5	104	107	3531.858
2021/8/24	105.5	106	99.5	103	3031.146
2021/8/23	102.5	108	102	105	2774.464
2021/8/20	101	102.5	96.8	100.5	7684.057
2021/8/19	112	112.5	101.5	101.5	4959.136
2021/8/18	110.5	114	105	112.5	6272.387
2021/8/17	116.5	120	113.5	113.5	2959.999
2021/8/16	113.5	122	113.5	116.5	6478.656
2021/8/13	126	127.5	122	122	2871.563
2021/8/12	135	137.5	133.5	135.5	1815.892
2021/8/11	129.5	138	128	135	3773.804
2021/8/10	135.5	141	133.5	137	2296.719
2021/8/9	138.5	139.5	135	135	1742.466
2021/8/6	138.5	140	136	137	1515.368
2021/8/5	141	144	133.5	138	6040.597
2021/8/4	147	156.5	140	141	12526.253
2021/8/3	147.5	148.5	144.5	145.5	1814.66
2021/8/2	145.5	149	141.5	147.5	3729.238
2021/7/30	146.5	152	141.5	146.5	4151.852
2021/7/29	144.5	151	141	150.5	4664.975
2021/7/28	147	149.5	138	144	6794.657
2021/7/27	152	153.5	147	148.5	3997.544
2021/7/26	148	153	143	153	5429.4
2021/7/23	153	154.5	144.5	146	6830.891
2021/7/22	154.5	157.5	145.5	152	12300.215
2021/7/21	142.5	154.5	140	154.5	11364.878
2021/7/20	151	153	140	140.5	19322.848
2021/7/19	134.5	147.5	133.5	147.5	10870.11
2021/7/16	127.5	134.5	126	134.5	7082.565
2021/7/15	128.5	135	124	127.5	8316.528
2021/7/14	126	132	123.5	128.5	6854.167
2021/7/13	122	133	119	127	12426.731
2021/7/12	123.5	125	116	122	17702.063
2021/7/9	103.5	114	103	114	4980.829
2021/7/8	108	109	104	104	2315.543
2021/7/7	106.5	108	102	107.5	4187.624
2021/7/6	107.5	109	106.5	107	3655.119
2021/7/5	103	107	101.5	105	4319.637
2021/7/2	106.5	108.5	101	102.5	5454.791
2021/7/1	102.5	105.5	99	105	7451.999
2021/6/30	99	102.5	96.9	101.5	10328.382
2021/6/29	91.2	98.6	90.9	96.9	10298.699
2021/6/28	86.4	90.5	85.9	90.1	2625.659
2021/6/25	86.2	88	85.4	86.1	1311.908
2021/6/24	85.5	85.8	84.7	85.1	598.561
2021/6/23	85	86.3	84.1	85.3	985.841
2021/6/22	83.2	85.7	82.1	84.9	1361.705
2021/6/21	83.6	84.4	82.1	82.6	1334.225
2021/6/18	85.2	85.8	84.1	84.9	922.656
2021/6/17	85	86.2	84.3	85.6	899.291
2021/6/16	88.5	88.5	85.2	85.3	1594.873
2021/6/15	87.2	88.5	86.1	88.3	1325.804
2021/6/11	93.6	93.8	87.4	87.4	6564.043
2021/6/10	90.8	94.7	90.4	94.2	3478.856
2021/6/9	91	91.4	89.5	90.2	935.255
2021/6/8	90.8	91.6	89.7	90.8	1114.23
2021/6/7	88.6	92.3	87.6	90.8	2991.713
2021/6/4	88.8	90.6	87.5	88	1716.593
2021/6/3	90.5	91.1	88.2	88.8	2608.162
2021/6/2	95.4	95.4	90.4	90.4	2443.499
2021/6/1	93.5	93.5	90.4	92.3	2942.469
2021/5/31	95.2	95.2	90.4	93	4414.444
2021/5/28	97.8	97.8	94.4	94.9	4418.416
2021/5/27	92.2	97.4	91.5	96.4	6713.289
2021/5/26	94.9	95	91.9	92.2	3583.036
2021/5/25	91.5	93.7	88.5	93.2	5487.498
2021/5/24	94.1	96.5	90.6	92.1	8855.326
2021/5/21	87.1	92.5	86.6	91	9127.976
2021/5/20	89.1	95	85.1	86	12055.131
2021/5/19	85	90.8	82	88	10376.111
2021/5/18	84.6	85.5	78	83.9	8036.767
2021/5/17	76.2	82.6	76.2	82.5	8103.43
2021/5/14	74.9	75.1	72.9	75.1	1390.81
2021/5/13	66	68.5	65.8	68.3	1481.088
2021/5/12	74.1	76.5	67.1	70	1698.308
2021/5/11	76.5	77.3	74.1	74.2	909.712
2021/5/10	75.3	76	74.5	76	430.871
2021/5/7	73.6	75.7	73.5	75.5	632.002
2021/5/6	75.4	75.4	73	73.3	677.94
2021/5/5	74.1	75.2	73.3	74.1	507.756
2021/5/4	78.5	78.5	73	74.1	1854.484
2021/5/3	80.5	80.7	77.5	77.7	1173.437
2021/4/29	81.7	81.7	79.9	79.9	847.704
2021/4/28	83.6	83.7	81.2	81.3	1115.117
2021/4/27	80.7	84.6	79.8	82.8	2095.926
2021/4/26	81.2	81.2	80	80.5	773.449
2021/4/23	80.1	80.6	79.3	79.7	605.828
2021/4/22	82	82	79.6	79.7	1262.799
2021/4/21	82.9	82.9	81.1	81.4	1137.3
2021/4/20	84.5	84.6	82.8	83	872.929
2021/4/19	82.7	84.2	81.8	83.7	1800.23
2021/4/16	83.4	83.8	81.8	82.2	752.064
2021/4/15	82.8	83.4	81.8	83.1	911.608
2021/4/14	81.7	82.3	79.6	81.8	1392.052
2021/4/13	84	84.1	81.2	81.4	1556.175
2021/4/12	81.9	83.4	81.5	82.7	1955.361
2021/4/9	81.9	81.9	80.2	81	979.536
2021/4/8	80.1	81.6	79.5	81.4	1811.421
2021/4/7	78.5	80.9	78.5	80.1	1876.097
2021/4/6	78.3	78.9	77.6	78.2	846.587
2021/4/1	78.1	78.5	77.2	77.8	905.079
2021/3/31	77	78.6	76.6	77.7	2066.317
2021/3/30	77.3	77.6	75.7	76.5	1075.459
2021/3/29	75.5	76.7	75	76	1310.643
2021/3/26	75.8	75.8	74.6	74.8	402.525
2021/3/25	76.7	77.2	74.6	75.1	1075.514
2021/3/24	73.4	76.3	73.3	75.9	1657.326
2021/3/23	73	74	72.7	73.3	476.018
2021/3/22	73.1	73.2	72.1	72.7	640.537
2021/3/19	74	74.1	73.1	73.2	518.316
2021/3/18	74.1	74.6	73.7	74	374.22
2021/3/17	73.2	74.7	73.2	74	428.376
2021/3/16	74	74.8	72.9	73.5	708.234
2021/3/15	74.3	74.4	73.5	73.9	459.938
2021/3/12	75	75.3	73.7	74.4	637.504
2021/3/11	76	77.6	74.5	75	1863.556
2021/3/10	73.6	73.7	72.8	72.8	412.883
2021/3/9	73	73.6	72.1	72.8	611.837
2021/3/8	73.8	74.1	72.6	72.8	475.142
2021/3/5	72.6	74.1	72.4	73.6	554.736
2021/3/4	74	74.4	72.1	72.7	866.281
2021/3/3	74.1	74.5	72.5	74	733.158
2021/3/2	76.7	76.8	73.6	74.1	1066.303
2021/2/26	75.2	76.8	75.1	76.5	619.907
2021/2/25	77	78.3	76	76.2	1165.28
2021/2/24	76.8	76.8	75.7	76	1101.041
2021/2/23	79.1	79.2	76.2	77.4	2062.109
2021/2/22	75.5	77.3	74.9	76.6	1896.006
2021/2/19	74.2	74.5	73	74.2	1405.019
2021/2/18	70.8	75.8	70.1	74.9	2760.615
2021/2/17	70	70.4	68.6	69.7	1151.363
2021/2/5	67.5	68.2	67	68.1	446.573
2021/2/4	66.4	67.5	66.3	66.8	450.642
2021/2/3	67.6	67.6	66.4	66.6	509.508
2021/2/2	67	68.1	66.9	67	550.508
2021/2/1	67.8	67.8	65.7	66.6	944.058
2021/1/29	68.7	68.9	67.3	67.5	651.036
2021/1/28	69	69.7	68.3	68.4	474.189
2021/1/27	70.2	70.6	69.4	69.8	474.416
2021/1/26	71.1	71.7	69.8	70.4	668.847
2021/1/25	69.5	71.3	68.8	70.7	942.846
2021/1/22	70.1	71.5	68.9	69.2	1136.812
2021/1/21	72.1	72.5	69.5	69.8	1335.271
2021/1/20	73.6	74	71.3	71.4	1139.918
2021/1/19	75.5	75.6	73.5	73.6	788.931
2021/1/18	74.2	76.4	74.1	75.3	897.453
2021/1/15	77.2	77.2	74.2	74.2	1403.759
2021/1/14	77.3	77.9	77.1	77.1	627.328
2021/1/13	79	79.6	77.6	77.6	845.735
2021/1/12	78.8	80.4	78.5	78.8	621.435
2021/1/11	79.2	79.2	77.5	78.8	697.938
2021/1/8	79.2	79.3	78.5	79.2	503.7
2021/1/7	78.7	79.3	78.7	79.2	291.718
2021/1/6	80	80.3	78.5	78.6	668.406
2021/1/5	79.9	80.7	79.6	80	379.11
2021/1/4	80.3	80.3	79.6	79.9	363.175
2020/12/31	79.2	80.4	79.2	80	480.223
2020/12/30	79.2	80.1	79.1	79.2	620.396
2020/12/29	81	81	79.2	79.2	1009.183
2020/12/28	81.3	81.6	80.3	80.5	757.739
2020/12/25	81.2	81.6	80.7	81.2	349.288
2020/12/24	82	82	80.7	81.1	633.902
2020/12/23	83	83	81.5	81.6	575.125
2020/12/22	83	83.3	82	82	650.929
2020/12/21	84	85.5	82.7	83.3	1028.729
2020/12/18	84.4	84.5	83.3	83.7	384.038
2020/12/17	84	84.7	83.3	83.8	458.2
2020/12/16	82.9	84.5	82.4	84.4	964.58
2020/12/15	82.9	83.3	81.9	82.1	412.111
2020/12/14	82.8	83.7	82.5	82.9	335.288
2020/12/11	84.7	84.7	82	82.4	1011.847
2020/12/10	84.6	84.9	83.6	83.8	618.418
2020/12/9	84.3	84.9	84.3	84.7	530.973
2020/12/8	84	84.9	84	84.3	388.576
2020/12/7	85.4	85.4	83.7	83.8	838.657
2020/12/4	84.1	84.6	83.4	84.5	546.413
2020/12/3	84.7	84.8	83.7	83.8	765.389
2020/12/2	84.2	84.8	84.1	84.2	749.427
2020/12/1	85	85.4	83.3	84	1440.703
